Date; GBP-EOM-VAL-CUR;USD-EOM-VAL-CUR;CPI-YOY-ROC-PERC;IR-L-IND-CONCRED-PERC;IR-L-IND-HOU-PERC;IR-L-NFC-PERC;GAC-BM-MIL-EUR;;;;;;;
31/01/2003;0.65570;10.816;4.0;9.91;4.4;5.5;-859.61;;;;;;;
28/02/2003;0.68420;10.782;4.1;9.86;4.25;5.39;-754.55;;;;;;;
31/03/2003;0.68960;10.895;3.7;9.73;4.08;5.29;-1202.52;;;;;;;
30/04/2003;0.69700;11.131;3.7;10.05;4.02;5.28;-774.65;;;;;;;
31/05/2003;0.71960;11.822;3.6;10.26;4.03;5.36;-1006.67;;;;;;;
30/06/2003;0.69320;11.427;3.3;9.87;3.7;4.76;-1178.1;;;;;;;
31/07/2003;0.70190;11.318;2.8;9.94;3.78;4.87;-949.89;;;;;;;
31/08/2003;0.69260;10.927;2.8;9.41;3.61;4.89;-1281.46;;;;;;;
30/09/2003;0.69860;11.652;3.0;9.36;3.6;4.88;-1337.64;;;;;;;
31/10/2003;0.68630;11.622;2.9;9.2;3.54;4.84;-1357.34;;;;;;;
30/11/2003;0.69710;11.994;2.5;9.23;3.52;4.96;-1207.29;;;;;;;
31/12/2003;0.70480;12.630;2.4;8.93;3.47;4.51;-1501.18;;;;;;;
31/01/2004;0.68460;12.384;2.2;9.15;3.59;4.92;-1076.65;;;;;;;
29/02/2004;0.67000;12.418;2.1;8.97;3.53;4.89;-1105.33;;;;;;;
31/03/2004;0.66590;12.224;2.3;9.04;3.5;4.55;-1404.9;;;;;;;
30/04/2004;0.67370;11.947;2.3;8.98;3.46;4.63;-1479.07;;;;;;;
31/05/2004;0.66475;12.198;2.4;8.8;3.5;4.52;-981.26;;;;;;;
30/06/2004;0.67075;12.155;2.7;8.8;3.5;4.46;-1491.08;;;;;;;
31/07/2004;0.66255;12.039;2.8;8.72;3.49;4.71;-1065.76;;;;;;;
31/08/2004;0.67550;12.111;2.4;8.93;3.49;4.8;-1553.36;;;;;;;
30/09/2004;0.68680;12.409;2.1;8.88;3.49;4.81;-1476.18;;;;;;;
31/10/2004;0.69565;12.737;2.2;8.94;3.48;4.83;-1663.35;;;;;;;
30/11/2004;0.69660;13.295;2.5;8.79;3.45;4.77;-1581.36;;;;;;;
31/12/2004;0.70505;13.621;2.5;8.55;3.45;4.39;-1567.4;;;;;;;
31/01/2005;0.69120;13.035;2.0;8.89;3.42;4.81;-1196.75;;;;;;;
28/02/2005;0.68975;13.257;2.1;8.91;3.44;4.88;-1172.33;;;;;;;
31/03/2005;0.68850;12.964;2.2;9.01;3.43;4.83;-1781.57;;;;;;;
30/04/2005;0.67750;12.957;2.1;8.94;3.39;4.91;-1592.41;;;;;;;
31/05/2005;0.67710;12.331;1.8;8.56;3.36;4.89;-1615.4;;;;;;;
